322,1,3,2,0,1
394,2,1,2,3,0
284,3,1,0,2,3
474,4,1,2,3,0
321,5,0,1,3,2
362,6,3,1,2,0
307,7,1,3,0,2
456,8,3,0,1,2
318,9,3,1,2,0
433,10,0,2,3,1
275,11,3,2,0,1
270,12,2,3,1,0
389,13,0,3,2,1
272,14,0,1,3,2
386,15,2,1,0,3
327,16,3,2,0,1
408,17,3,0,1,2
430,18,2,3,1,0
341,19,0,1,3,2
480,20,0,2,3,1
287,21,2,3,1,0
443,22,2,3,1,0
379,23,3,1,2,0
339,24,3,2,0,1
380,25,2,0,3,1
392,26,3,0,1,2
477,27,3,0,1,2
472,28,3,0,1,2
349,29,1,0,2,3
347,30,2,3,1,0
381,31,2,0,3,1
504,32,1,0,2,3
310,33,1,3,0,2
437,34,0,2,3,1
471,35,2,1,0,3
494,36,2,3,1,0
455,37,2,1,0,3
375,38,1,3,0,2
423,39,3,1,0,2
343,40,3,2,0,1
447,41,2,3,1,0
399,42,1,2,3,0
484,43,0,2,3,1
444,44,1,0,2,3
403,45,2,1,0,3
290,46,1,3,0,2
497,47,0,2,3,1
365,48,2,0,3,1
324,49,0,1,3,2
483,50,3,1,0,2
313,51,2,0,3,1
355,52,1,3,0,2
507,53,2,3,1,0
257,54,0,1,3,2
334,55,2,3,1,0
469,56,0,3,2,1
320,57,0,1,3,2
373,58,0,2,1,3
276,59,0,1,3,2
338,60,3,2,0,1
332,61,1,0,2,3
329,62,1,0,2,3
261,63,0,1,3,2
458,64,1,2,3,0
266,65,2,3,1,0
267,66,2,3,1,0
283,67,2,3,1,0
416,68,0,2,3,1
464,69,0,3,2,1
308,70,0,2,1,3
404,71,0,3,2,1
396,72,3,0,1,2
333,73,1,0,2,3
295,74,1,3,0,2
353,75,0,2,1,3
370,76,1,3,0,2
412,77,3,0,1,2
296,78,2,0,3,1
457,79,3,0,1,2
301,80,2,0,3,1
259,81,3,2,0,1
271,82,2,3,1,0
376,83,2,0,3,1
356,84,0,2,1,3
366,85,3,1,2,0
309,86,0,2,1,3
288,87,0,2,1,3
489,88,1,0,2,3
371,89,1,3,0,2
314,90,3,1,2,0
500,91,0,2,3,1
397,92,3,0,1,2
311,93,1,3,0,2
492,94,1,0,2,3
258,95,3,2,0,1
491,96,2,3,1,0
260,97,0,1,3,2
454,98,2,1,0,3
496,99,0,2,3,1
361,100,2,0,3,1
262,101,3,2,0,1
268,102,1,0,2,3
286,103,2,3,1,0
360,104,2,0,3,1
273,105,0,1,3,2
470,106,2,1,0,3
364,107,2,0,3,1
277,108,0,1,3,2
317,109,2,0,3,1
377,110,2,0,3,1
358,111,1,3,0,2
